Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,PMR1,446.006250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
1,PMR1-01,446.006250,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
2,PMR1-02,446.006250,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
3,PMR1-03,446.006250,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
4,PMR1-04,446.006250,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
5,PMR1-05,446.006250,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
6,PMR1-06,446.006250,,0.000000,TSQL,82.5,82.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
7,PMR1-07,446.006250,,0.000000,TSQL,85.4,85.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
8,PMR1-08,446.006250,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
9,PMR1-09,446.006250,,0.000000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
10,PMR1-10,446.006250,,0.000000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
11,PMR1-11,446.006250,,0.000000,TSQL,97.4,97.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
12,PMR1-12,446.006250,,0.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
13,PMR1-13,446.006250,,0.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
14,PMR1-14,446.006250,,0.000000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
15,PMR1-15,446.006250,,0.000000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
16,PMR1-16,446.006250,,0.000000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
17,PMR1-17,446.006250,,0.000000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
18,PMR1-18,446.006250,,0.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
19,PMR1-19,446.006250,,0.000000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
20,PMR1-20,446.006250,,0.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
21,PMR1-21,446.006250,,0.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
22,PMR1-22,446.006250,,0.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
23,PMR1-23,446.006250,,0.000000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
24,PMR1-24,446.006250,,0.000000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
25,PMR2,446.018750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
26,PMR2-01,446.018750,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
27,PMR2-02,446.018750,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
28,PMR2-03,446.018750,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
29,PMR2-04,446.018750,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
30,PMR2-05,446.018750,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
31,PMR2-06,446.018750,,0.000000,TSQL,82.5,82.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
32,PMR2-07,446.018750,,0.000000,TSQL,85.4,85.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
33,PMR2-08,446.018750,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
34,PMR2-09,446.018750,,0.000000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
35,PMR2-10,446.018750,,0.000000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
